File: 0, Coords: 171,204, RGB: 27,27,73
File: 1, Coords: 171,204, RGB: 30,30,30
File: 2, Coords: 171,204, RGB: 44,123,191
File: 3, Coords: 171,204, RGB: 27,113,187
File: 4, Coords: 171,204, RGB: 26,26,26
File: 5, Coords: 171,204, RGB: 222,255,255
File: 6, Coords: 171,204, RGB: 27,27,27
File: 7, Coords: 171,204, RGB: 86,158,224
File: 8, Coords: 171,204, RGB: 28,28,114
File: 9, Coords: 171,204, RGB: 28,28,114
File: 0, Coords: 171,205, RGB: 27,113,187
File: 1, Coords: 171,205, RGB: 29,29,115
File: 2, Coords: 171,205, RGB: 44,44,44
File: 3, Coords: 171,205, RGB: 27,27,27
File: 4, Coords: 171,205, RGB: 26,26,26
File: 5, Coords: 171,205, RGB: 222,188,115
File: 6, Coords: 171,205, RGB: 27,73,151
File: 7, Coords: 171,205, RGB: 44,44,44
File: 8, Coords: 171,205, RGB: 74,152,221
File: 9, Coords: 171,205, RGB: 115,187,255
File: 0, Coords: 171,206, RGB: 73,151,221
File: 1, Coords: 171,206, RGB: 28,28,28
File: 2, Coords: 171,206, RGB: 44,44,44
File: 3, Coords: 171,206, RGB: 27,27,27
File: 4, Coords: 171,206, RGB: 25,25,72
File: 5, Coords: 171,206, RGB: 222,188,115
File: 6, Coords: 171,206, RGB: 73,151,221
File: 7, Coords: 171,206, RGB: 44,44,44
File: 8, Coords: 171,206, RGB: 28,114,187
File: 9, Coords: 171,206, RGB: 115,187,255
File: 0, Coords: 171,207, RGB: 113,187,255
File: 1, Coords: 171,207, RGB: 28,28,28
File: 2, Coords: 171,207, RGB: 44,44,44
File: 3, Coords: 171,207, RGB: 28,28,28
File: 4, Coords: 171,207, RGB: 113,186,255
File: 5, Coords: 171,207, RGB: 222,255,255
File: 6, Coords: 171,207, RGB: 114,187,255
File: 7, Coords: 171,207, RGB: 44,44,44
File: 8, Coords: 171,207, RGB: 28,28,114
File: 9, Coords: 171,207, RGB: 29,74,152
File: 0, Coords: 171,208, RGB: 74,152,221
File: 1, Coords: 171,208, RGB: 28,28,28
File: 2, Coords: 171,208, RGB: 44,44,44
File: 3, Coords: 171,208, RGB: 29,29,29
File: 4, Coords: 171,208, RGB: 151,221,255
File: 5, Coords: 171,208, RGB: 29,29,29
File: 6, Coords: 171,208, RGB: 115,187,255
File: 7, Coords: 171,208, RGB: 44,44,44
File: 8, Coords: 171,208, RGB: 114,187,255
File: 9, Coords: 171,208, RGB: 75,31,31
File: 0, Coords: 171,209, RGB: 27,113,187
